app_franchise,app_id,app_name,app_name_raw,app_type,appannie_url,device,device_supported,download_country_code,downloads,iap_enabled,month_id,price_avg,price_end,price_start,primary_category,primary_category_raw,publisher_id,publisher_name,publisher_name_raw,publisher_parent,rating_avg_all,rating_avg_cur,rating_count_all,rating_count_all_1,rating_count_all_2,rating_count_all_3,rating_count_all_4,rating_count_all_5,rating_count_cur,rating_count_cur_1,rating_count_cur_2,rating_count_cur_3,rating_count_cur_4,rating_count_cur_5,release_date_id,revenue_app,revenue_iap,store,week_id
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,52450,FALSE,159,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,3.5,6505,1593,519,871,1316,2206,1780,331,133,264,406,646,4598,0,0,iOS,696
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,56508,FALSE,160,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,3.5,6720,1640,539,900,1371,2270,2003,380,155,293,463,712,4598,0,0,iOS,697
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,56164,FALSE,160,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,3.5,6990,1695,563,946,1435,2351,2289,436,180,341,533,799,4598,0,0,iOS,698
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,61003,FALSE,160,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,2,7249,1765,588,996,1483,2417,29,18,4,3,1,3,4598,0,0,iOS,699
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,65811,FALSE,160,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,3.5,7560,1809,612,1032,1558,2549,422,81,30,46,88,177,4598,0,0,iOS,700
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,65252,FALSE,161,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,3,7965,1862,655,1090,1663,2695,47,19,4,2,6,16,4598,0,0,iOS,701
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,67278,FALSE,161,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,4,8483,1895,667,1165,1801,2955,683,77,22,84,177,323,4598,0,0,iOS,702
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,76447,FALSE,161,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,4,8976,1948,688,1231,1963,3146,1249,134,45,160,357,553,4598,0,0,iOS,703
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,86990,FALSE,161,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,4,9374,1984,717,1299,2094,3280,1695,181,76,233,499,706,4598,0,0,iOS,704
Tinder,547702041,Tinder,Tinder,Free,http://www.appannie.com/app/ios/547702041/,iPhone,iPhone and iPod touch,US,79568,FALSE,161,0,0,0,Communication and Social,Social Networking,424613427,Tinder,Tinder Inc.,InterActiveCorp (IAC),3.5,4,9723,2022,745,1358,2193,3405,2077,221,107,296,607,846,4598,0,0,iOS,705
